Id,Label,Album
spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Don't Stop Believin',Escape
spotify:track:5ChkMS8OtdzJeqyybCc9R5,Billie Jean,Thriller 25 Super Deluxe Edition
spotify:track:7Di7t9yGoxdZRLAt5a4pi0,Manic Monday,Different Light
spotify:track:1OOtq8tRnDM8kG2gqUPjAj,Beat It - Single Version,Thriller 25 Super Deluxe Edition
spotify:track:4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,She's So Unusual
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,I Wanna Dance with Somebody (Who Loves Me),Whitney
spotify:track:4o6BgsqLIBViaGVbx5rbRk,You Make My Dreams - Remastered,Voices
spotify:track:1TfqLAPs4K3s2rJMoCokcS,Sweet Dreams (Are Made of This) - Remastered,Sweet Dreams (Are Made Of This)
spotify:track:33VihH9UNQMxiQS4wcPIKL,I Ran,Grand Theft Auto Vice City OST (Greatest Hits)
spotify:track:5PIB8aoUJoCRh1O5TEGdOj,Ghostbusters,Arista Heritage Series: Ray Parker
spotify:track:71SvEDmsOwIWw1IozsZoMA,Any Way You Want It,Departure
spotify:track:7uHO4AmKtyGa5v5fsElGoC,You Spin Me Round (Like a Record),Youthquake
spotify:track:2374M0fQpWi3dLnB54qaLX,Africa,Toto IV
spotify:track:4uLU6hMCjMI75M1A2tKUQC,Never Gonna Give You Up,Whenever You Need Somebody
spotify:track:524FcNstEG0iAHPNAgwXe7,All Out Of Love,All Out Of Love Live
spotify:track:5tdKaKLnC4SgtDZ6RlWeal,How Will I Know,Whitney Houston
spotify:track:3koCCeSaVUyrRo3N2gHrd8,Let's Groove,Raise!
spotify:track:5g0qn8cU7uTzbPwma79XdR,Rhythm is Gonna Get You,Let It Loose/Cuts Both Ways/Into The Light (3 Pak)
spotify:track:2bCQHF9gdG5BNDVuEIEnNk,Smooth Criminal - 2012 Remaster,Bad 25th Anniversary
spotify:track:2w4EpqGasrz9qdTwocx54t,Open Arms,Escape
spotify:track:3FdHgoJbH3DXNtGLh56pFu,Conga,Primitive Love
spotify:track:5vdp5UmvTsnMEMESIF2Ym7,Another One Bites The Dust - Remastered 2011,The Game
spotify:track:7o9uu2GDtVDr9nsR7ZRN73,Time After Time,She's So Unusual
spotify:track:4McRlwqJQIERlJFiJEgbP0,Total Eclipse of The Heart,The Very Best Of
spotify:track:5xl5582IihbEZAnfj0xyso,Straight Up,Forever Your Girl
spotify:track:4aWn4NHlELpOehxsBaQeoe,Don't You (Forget About Me),Once Upon A Time
spotify:track:40QPoAAKKMwPms6I6FHJqy,Give It Up,The Very Best Of KC And The Sunshine Band
spotify:track:6FcQD1qOpqV8NdhY45sKyI,What's Love Got to Do with It,Simply The Best
spotify:track:76QJgXPE3oc1cnkE4PFHEn,Together Forever,Whenever You Need Somebody
spotify:track:3RwbqrHZwHg3hpe6sOxMpE,Making Love Out of Nothing at All,The Best of Air Supply: Ones That You Love
spotify:track:5lA3pwMkBdd24StM90QrNR,P.Y.T. (Pretty Young Thing),Thriller 25 Super Deluxe Edition
spotify:track:37d8O4cIq36tssCoJnhJxg,Boogie Shoes - 2004 Remastered Version,KC and the Sunshine Band
spotify:track:2qVZpGu1v98tvUAutqyAfJ,Get Down Tonight - 2004 Remastered Version,KC and the Sunshine Band
spotify:track:4M1tFaupigR42VpMwG0nZq,Last Dance - Single Version,Walk Away - Collector's Edition The Best Of 1977-1980
spotify:track:0I9KnKdIVz8envRSA6yGZL,"Hot Stuff - 12"" Version",Bad Girls
spotify:track:3ZKQVyxT4Jg2lLZRLs7Vgo,Bad Girls,Bad Girls
spotify:track:78RIER8V6EhrqVPOBi2GYa,Here Comes The Rain Again - Remastered Version,Touch
spotify:track:1mqlc0vEP9mU1kZgTi6LIQ,September,"Now, Then & Forever"
spotify:track:3YcusdF0VAb25wLvmvJDJ6,Fantasy,"The Best Of Earth, Wind & Fire Vol. 1"
spotify:track:5n1A3VxqT4VcNez4Ah6dSu,Got To Give It Up (Part 1),The Best Of Marvin Gaye
spotify:track:2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain?,Pendulum
spotify:track:1kgdslQYmeTR4thk9whoRw,Tears In Heaven,Rush (Music from the Motion Picture Soundtrack)
spotify:track:3BEZCNZSmVv30vsMNSOCri,Layla,Unplugged [Deluxe]
spotify:track:0n2SEXB2qoRQg171q7XqeW,Smooth,Supernatural (Remastered)
spotify:track:2KmEgiY8fQs0G6WNxtzQKr,Baba O'Riley,Who's Next
spotify:track:5g3ZD7PmrEQlQZKDW91yGG,Eternal Flame,Everything
spotify:track:7jTKLKs3NDmDnJHan5M2A0,Down Under,Super Hits
spotify:track:0DnA2DyUwy0W4xMYtRxocL,Who Can It Be Now?,Super Hits
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,Eye of the Tiger,Eye Of The Tiger
spotify:track:36lkJSDyMEZoWTqtRj8Q8q,You're The Inspiration - 2006 Remastered Version,Chicago 17 [Expanded]
spotify:track:07TnWCHrFkvF61GzJuLVt0,Hard To Say I'M Sorry / Get Away,Chicago 16 [Expanded]
spotify:track:0Wv3aY6gApoT3oKBYIqvXb,Will You Still Love Me? - Alternate Version,Chicago 18
spotify:track:4DMKwE2E2iYDKY01C335Uw,Carry on Wayward Son,Leftoverture
spotify:track:6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Point Of Know Return
