Id,Label
spotify:track:4bHsxqR3GMrXTxEPLuK5ue,Journey
spotify:track:5ChkMS8OtdzJeqyybCc9R5,Michael Jackson
spotify:track:7Di7t9yGoxdZRLAt5a4pi0,The Bangles
spotify:track:1OOtq8tRnDM8kG2gqUPjAj,Michael Jackson
spotify:track:4y1LsJpmMti1PfRQV9AWWe,Cyndi Lauper
spotify:track:2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston
spotify:track:4o6BgsqLIBViaGVbx5rbRk,Daryl Hall & John Oates
spotify:track:1TfqLAPs4K3s2rJMoCokcS,Eurythmics
spotify:track:33VihH9UNQMxiQS4wcPIKL,A Flock Of Seagulls
spotify:track:5PIB8aoUJoCRh1O5TEGdOj,"Ray Parker, Jr."
spotify:track:71SvEDmsOwIWw1IozsZoMA,Journey
spotify:track:7uHO4AmKtyGa5v5fsElGoC,Dead Or Alive
spotify:track:2374M0fQpWi3dLnB54qaLX,Toto
spotify:track:4uLU6hMCjMI75M1A2tKUQC,Rick Astley
spotify:track:524FcNstEG0iAHPNAgwXe7,Air Supply
spotify:track:5tdKaKLnC4SgtDZ6RlWeal,Whitney Houston
spotify:track:3koCCeSaVUyrRo3N2gHrd8,"Earth, Wind & Fire"
spotify:track:5g0qn8cU7uTzbPwma79XdR,Gloria Estefan
spotify:track:2bCQHF9gdG5BNDVuEIEnNk,Michael Jackson
spotify:track:2w4EpqGasrz9qdTwocx54t,Journey
spotify:track:3FdHgoJbH3DXNtGLh56pFu,Miami Sound Machine
spotify:track:5vdp5UmvTsnMEMESIF2Ym7,Queen
spotify:track:7o9uu2GDtVDr9nsR7ZRN73,Cyndi Lauper
spotify:track:4McRlwqJQIERlJFiJEgbP0,Bonnie Tyler
spotify:track:5xl5582IihbEZAnfj0xyso,Paula Abdul
spotify:track:4aWn4NHlELpOehxsBaQeoe,Simple Minds
spotify:track:40QPoAAKKMwPms6I6FHJqy,KC & The Sunshine Band
spotify:track:6FcQD1qOpqV8NdhY45sKyI,Tina Turner
spotify:track:76QJgXPE3oc1cnkE4PFHEn,Rick Astley
spotify:track:3RwbqrHZwHg3hpe6sOxMpE,Air Supply
spotify:track:5lA3pwMkBdd24StM90QrNR,Michael Jackson
spotify:track:37d8O4cIq36tssCoJnhJxg,KC & The Sunshine Band
spotify:track:2qVZpGu1v98tvUAutqyAfJ,KC & The Sunshine Band
spotify:track:4M1tFaupigR42VpMwG0nZq,Donna Summer
spotify:track:0I9KnKdIVz8envRSA6yGZL,Donna Summer
spotify:track:3ZKQVyxT4Jg2lLZRLs7Vgo,Donna Summer
spotify:track:78RIER8V6EhrqVPOBi2GYa,Eurythmics
spotify:track:1mqlc0vEP9mU1kZgTi6LIQ,"Earth, Wind & Fire"
spotify:track:3YcusdF0VAb25wLvmvJDJ6,"Earth, Wind & Fire"
spotify:track:5n1A3VxqT4VcNez4Ah6dSu,Marvin Gaye
spotify:track:2LawezPeJhN4AWuSB0GtAU,Creedence Clearwater Revival
spotify:track:1kgdslQYmeTR4thk9whoRw,Eric Clapton
spotify:track:3BEZCNZSmVv30vsMNSOCri,Eric Clapton
spotify:track:0n2SEXB2qoRQg171q7XqeW,Santana
spotify:track:2KmEgiY8fQs0G6WNxtzQKr,The Who
spotify:track:5g3ZD7PmrEQlQZKDW91yGG,The Bangles
spotify:track:7jTKLKs3NDmDnJHan5M2A0,Men At Work
spotify:track:0DnA2DyUwy0W4xMYtRxocL,Men At Work
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,Survivor
spotify:track:36lkJSDyMEZoWTqtRj8Q8q,Chicago
spotify:track:07TnWCHrFkvF61GzJuLVt0,Chicago
spotify:track:0Wv3aY6gApoT3oKBYIqvXb,Chicago
spotify:track:4DMKwE2E2iYDKY01C335Uw,Kansas
spotify:track:6zeE5tKyr8Nu882DQhhSQI,Kansas
spotify:track:3vCHmbyOgc6pgwLUWfU4pF,Queen
spotify:track:6qB7YcFpeBEQa0D6QO482y,Roxette
spotify:track:78TnMTAFmWUWWCgNXR7D3K,Roxette
spotify:track:714hERk9U1W8FMYkoC83CO,Hot Chocolate
spotify:track:4qO03RMQm88DdpTJcxlglY,Blondie
spotify:track:1hQr0D1ZXbGHFcWLhusijv,Blondie
spotify:track:4ByEFOBuLXpCqvO1kw8Wdm,Cutting Crew
spotify:track:1JLn8RhQzHz3qDqsChcmBl,Foreigner
spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,Lionel Richie
spotify:track:6HMvJcdw6qLsyV1b5x29sa,Lionel Richie
spotify:track:6tP1NaAIoxSTzeFgCUO66V,Blondie
spotify:track:1YwNlWLf8auhazSQUDQLFU,Depeche Mode
spotify:track:0cGG2EouYCEEC3xfa0tDFV,Soft Cell
spotify:track:0EMmVUYs9ZZRHtlADB88uz,Dexys Midnight Runners
spotify:track:0XGyBJ0tNebqppbNEyCAcM,Modern English
spotify:track:4sscDOZCkbLSlDqcCgUJnX,DEVO
spotify:track:2dURQIBrw3XcHyVZlfdpC1,Stacey Q
spotify:track:1eyq8cjUQ2daFthW2PC2GM,Peter Cetera
spotify:track:0CsM8VGDi38kusMv3pxyj1,Spandau Ballet
spotify:track:5C0LFQARavkPpn7JgA4sLk,The Police
spotify:track:3KuAa8Y79xlfJgYtBKbynY,Yaz
spotify:track:6KsgCYcZKPcBRDNGhiZWRR,George Michael
spotify:track:4aKIs5t9TqP59btlCGPrgw,Daryl Hall & John Oates
spotify:track:0qi4b1l0eT3jpzeNHeFXDT,Depeche Mode
spotify:track:4BFMQ15vXr626UOoZL8bUI,Bill Medley
spotify:track:2ccUQnjjNWT0rsNnsBpsCA,Cheap Trick
spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac
spotify:track:35aAY4EJTCzqcluZYuIpCM,Freeez
spotify:track:7N3PAbqfTjSEU1edb2tY8j,Van Halen
spotify:track:0UN4SKICQil8eH94OoGU7N,Orchestral Manoeuvres In The Dark
spotify:track:0KlJjhnfwAnPacNd7EH45J,Naked Eyes
spotify:track:0odIT9B9BvOCnXfS0e4lB5,Kim Carnes
spotify:track:6S7OQQ19MSi5Fo2PQ6LL1u,Jermaine Stewart
spotify:track:0sKlV58cODrjxGFOyf9IXY,Michael Jackson
spotify:track:2fytePz8UsbUr8n33QBEcm,Michael Jackson
spotify:track:4jnFqNWeJCeCRHc4HCdxfd,Michael Jackson
