Source,Target
789237,232352
789237,260800
789237,100883
789237,118804
789237,447769
789237,688840
789237,405952
789237,912284
789237,757276
789237,59067
789237,871439
789237,606738
789237,961024
789237,504419
789237,567228
789237,776378
789237,546344
789237,457522
789237,716612
789237,108514
789237,604000
789237,606096
789237,309907
789237,565511
789237,40309
789237,304344
789237,211534
789237,195919
789237,405164
789237,426203
789237,203577
789237,407880
789237,655448
789237,86307
789237,798236
789237,734785
789237,221316
789237,168087
789237,838135
789237,480744
789237,997377
789237,791422
789237,108239
789237,688631
789237,634027
789237,995316
789237,159886
789237,680243
789237,444318
789237,385254
789237,218080
789237,171812
789237,455533
789237,465698
789237,445127
789237,296490
789237,130004
789237,358487
789237,363822
789237,547275
789237,350356
789237,580541
789237,297422
789237,894713
789237,598704
789237,133333
789237,605224
789237,360254
789237,80140
789237,854241
789237,833761
789237,735033
789237,140246
789237,151203
789237,886018
789237,962410
789237,544056
789237,692363
789237,286704
789237,352702
789237,829911
789237,258717
789237,77142
789237,143288
789237,406373
789237,434668
789237,163885
789237,822198
789237,555171
789237,407707
789237,614626
789237,735869
789237,677618
789237,950962
789237,239362
789237,339282
789237,480769
789237,40744
789237,681015
789237,338183
789237,961772
789237,25678
789237,221062
789237,162704
789237,220354
789237,387268
789237,223644
789237,102628
789237,55194
789237,896621
789237,886209
789237,379565
789237,995619
789237,869269
789237,782323
789237,583209
789237,17896
789237,45105
789237,210356
789237,187842
789237,684772
789237,830016
789237,822573
789237,168204
789237,950003
789237,839720
789237,358288
789237,860021
789237,446990
789237,17126
789237,287244
789237,168319
789237,966801
789237,555857
789237,102609
789237,404908
789237,582137
789237,339453
789237,918922
789237,606164
789237,862660
789237,33619
789237,754402
789237,692566
789237,133733
789237,884098
789237,200019
789237,499381
789237,86759
789237,71888
789237,386703
789237,100283
789237,607351
789237,698881
789237,897957
789237,95089
789237,506652
789237,765242
789237,12058
789237,294618
789237,111635
789237,809608
789237,350486
789237,261569
789237,230772
789237,756099
789237,467145
789237,319670
789237,333519
789237,24484
789237,923817
789237,168308
789237,707549
789237,949057
789237,537251
789237,415224
789237,131806
789237,172506
789237,950791
789237,783657
789237,77174
789237,35970
789237,50997
789237,481191
789237,102792
789237,625089
789237,593324
789237,273822
789237,476278
789237,499985
789237,339588
789237,913194
232352,260800
232352,100883
232352,118804
232352,447769
232352,688840
232352,405952
232352,912284
232352,757276
232352,59067
232352,871439
232352,606738
232352,961024
232352,504419
232352,567228
232352,776378
232352,546344
232352,457522
232352,716612
232352,108514
232352,604000
232352,606096
232352,309907
232352,565511
232352,40309
232352,304344
232352,211534
232352,195919
232352,405164
232352,426203
232352,203577
232352,407880
232352,655448
232352,86307
232352,798236
232352,734785
232352,221316
232352,168087
232352,838135
232352,480744
232352,997377
232352,791422
232352,108239
232352,688631
232352,634027
232352,995316
232352,159886
232352,680243
232352,444318
232352,385254
232352,218080
232352,171812
232352,455533
232352,465698
232352,445127
232352,296490
232352,130004
232352,358487
232352,363822
232352,547275
232352,350356
232352,580541
232352,297422
232352,894713
232352,598704
232352,133333
232352,605224
232352,360254
232352,80140
232352,854241
232352,833761
232352,735033
232352,140246
232352,151203
232352,886018
232352,962410
232352,544056
232352,692363
232352,286704
232352,352702
232352,829911
232352,258717
232352,77142
232352,143288
232352,406373
232352,434668
232352,163885
232352,822198
232352,555171
232352,407707
232352,614626
232352,735869
232352,677618
232352,950962
232352,239362
232352,339282
232352,480769
232352,40744
232352,681015
232352,338183
232352,961772
232352,25678
232352,221062
232352,162704
232352,220354
232352,387268
232352,223644
232352,102628
232352,55194
232352,896621
232352,886209
232352,379565
232352,995619
232352,869269
232352,782323
232352,583209
232352,17896
232352,45105
232352,210356
232352,187842
232352,684772
232352,830016
232352,822573
232352,168204
232352,950003
232352,839720
232352,358288
232352,860021
232352,446990
232352,17126
232352,287244
232352,168319
232352,966801
232352,555857
232352,102609
232352,404908
232352,582137
232352,339453
232352,918922
232352,606164
232352,862660
232352,33619
232352,754402
232352,692566
232352,133733
232352,884098
232352,200019
232352,499381
232352,86759
232352,71888
232352,386703
232352,100283
232352,607351
232352,698881
232352,897957
232352,95089
232352,506652
232352,765242
232352,12058
232352,294618
232352,111635
232352,809608
232352,350486
232352,261569
232352,230772
232352,756099
232352,467145
232352,319670
232352,333519
232352,24484
232352,923817
232352,168308
232352,707549
232352,949057
232352,537251
232352,415224
232352,131806
232352,172506
232352,950791
232352,783657
232352,77174
232352,35970
232352,50997
232352,481191
232352,102792
232352,625089
232352,593324
232352,273822
232352,476278
232352,499985
232352,339588
232352,913194
260800,100883
260800,118804
260800,447769
260800,688840
260800,405952
260800,912284
260800,757276
260800,59067
260800,871439
260800,606738
260800,961024
260800,504419
260800,567228
260800,776378
260800,546344
260800,457522
260800,716612
260800,108514
260800,604000
260800,606096
260800,309907
260800,565511
260800,40309
260800,304344
260800,211534
260800,195919
260800,405164
260800,426203
260800,203577
260800,407880
260800,655448
260800,86307
260800,798236
260800,734785
260800,221316
260800,168087
260800,838135
260800,480744
260800,997377
260800,791422
260800,108239
260800,688631
260800,634027
260800,995316
260800,159886
260800,680243
260800,444318
260800,385254
260800,218080
260800,171812
260800,455533
260800,465698
260800,445127
260800,296490
260800,130004
260800,358487
260800,363822
260800,547275
260800,350356
260800,580541
260800,297422
260800,894713
260800,598704
260800,133333
260800,605224
260800,360254
260800,80140
260800,854241
260800,833761
260800,735033
260800,140246
260800,151203
260800,886018
260800,962410
260800,544056
260800,692363
260800,286704
260800,352702
260800,829911
260800,258717
260800,77142
260800,143288
260800,406373
260800,434668
260800,163885
260800,822198
260800,555171
260800,407707
260800,614626
260800,735869
260800,677618
